,real,predicted,diff
1632,6,6,0
1633,6,6,0
1634,8,6,2
1635,7,6,1
1636,5,6,-1
1637,7,6,1
1638,6,6,0
1639,6,5,1
1640,6,6,0
1641,5,5,0
1642,5,5,0
1643,7,6,1
1644,6,6,0
1645,5,5,0
1646,5,5,0
1647,6,6,0
1648,5,6,-1
1649,6,6,0
1650,5,6,-1
1651,5,6,-1
1652,5,5,0
1653,6,6,0
1654,5,6,-1
1655,5,6,-1
1656,6,5,1
1657,5,5,0
1658,4,5,-1
1659,7,6,1
1660,5,5,0
1661,6,6,0
1662,6,6,0
1663,6,6,0
1664,6,6,0
1665,5,6,-1
1666,5,6,-1
1667,8,6,2
1668,6,5,1
1669,6,6,0
1670,6,6,0
1671,6,6,0
1672,5,6,-1
1673,6,6,0
1674,6,6,0
1675,4,6,-2
1676,7,6,1
1677,4,5,-1
1678,5,6,-1
1679,7,6,1
1680,6,6,0
1681,8,7,1
1682,7,6,1
1683,6,6,0
1684,3,5,-2
1685,6,6,0
1686,5,5,0
1687,5,5,0
1688,7,6,1
1689,6,5,1
1690,6,6,0
1691,7,6,1
1692,6,6,0
1693,5,5,0
1694,6,6,0
1695,6,6,0
1696,6,7,-1
1697,6,5,1
1698,5,5,0
1699,6,6,0
1700,7,6,1
1701,7,5,2
1702,6,6,0
1703,6,6,0
1704,5,6,-1
1705,6,6,0
1706,6,6,0
1707,6,6,0
1708,7,6,1
1709,5,5,0
1710,6,5,1
1711,7,6,1
1712,5,6,-1
1713,7,6,1
1714,5,5,0
1715,7,6,1
1716,5,6,-1
1717,7,6,1
1718,6,6,0
1719,6,6,0
1720,7,6,1
1721,5,5,0
1722,6,6,0
1723,8,6,2
1724,6,6,0
1725,5,6,-1
1726,5,6,-1
1727,5,6,-1
1728,5,6,-1
1729,7,6,1
1730,6,6,0
1731,6,6,0
1732,6,6,0
1733,5,5,0
1734,5,6,-1
1735,5,5,0
1736,6,6,0
1737,6,6,0
1738,5,5,0
1739,7,5,2
1740,6,6,0
1741,5,5,0
1742,6,5,1
1743,7,6,1
1744,5,6,-1
1745,5,6,-1
1746,6,6,0
1747,6,5,1
1748,5,5,0
1749,6,6,0
1750,6,6,0
1751,5,6,-1
1752,6,6,0
1753,5,6,-1
1754,8,6,2
1755,7,6,1
1756,7,6,1
1757,6,6,0
1758,7,6,1
1759,5,5,0
1760,8,6,2
1761,6,6,0
1762,6,6,0
1763,5,6,-1
1764,6,6,0
1765,6,6,0
1766,5,6,-1
1767,5,5,0
1768,5,6,-1
1769,6,6,0
1770,6,6,0
1771,6,6,0
1772,6,6,0
1773,5,5,0
1774,7,6,1
1775,7,6,1
1776,6,6,0
1777,5,6,-1
1778,6,6,0
1779,7,6,1
1780,6,6,0
1781,6,5,1
1782,7,6,1
1783,5,6,-1
1784,7,6,1
1785,6,6,0
1786,5,6,-1
1787,5,5,0
1788,7,6,1
1789,5,6,-1
1790,6,6,0
1791,7,6,1
1792,7,6,1
1793,6,5,1
1794,6,6,0
1795,5,5,0
1796,6,6,0
1797,6,5,1
1798,6,5,1
1799,5,5,0
1800,7,5,2
1801,5,6,-1
1802,6,6,0
1803,5,5,0
1804,6,6,0
1805,8,6,2
1806,5,5,0
1807,7,6,1
1808,6,6,0
1809,7,6,1
1810,7,6,1
1811,5,6,-1
1812,6,6,0
1813,6,6,0
1814,6,6,0
1815,6,6,0
1816,7,6,1
1817,6,6,0
1818,5,5,0
1819,7,6,1
1820,4,5,-1
1821,5,5,0
1822,5,5,0
1823,6,7,-1
1824,6,5,1
1825,6,7,-1
1826,7,7,0
1827,6,6,0
1828,6,6,0
1829,5,6,-1
1830,5,6,-1
1831,7,6,1
1832,5,5,0
1833,6,6,0
1834,6,6,0
1835,7,6,1
1836,7,6,1
1837,5,5,0
1838,5,6,-1
1839,5,5,0
1840,6,5,1
1841,5,6,-1
1842,6,6,0
1843,7,6,1
1844,4,5,-1
1845,7,6,1
1846,6,6,0
1847,5,5,0
1848,6,6,0
1849,6,6,0
1850,6,6,0
1851,5,5,0
1852,6,6,0
1853,6,6,0
1854,6,6,0
1855,6,6,0
1856,5,6,-1
1857,7,6,1
1858,5,6,-1
1859,7,6,1
1860,6,6,0
1861,8,6,2
1862,5,6,-1
1863,7,6,1
1864,5,6,-1
1865,6,5,1
1866,7,6,1
1867,6,5,1
1868,6,6,0
1869,6,6,0
1870,5,6,-1
1871,6,5,1
1872,6,6,0
1873,6,6,0
1874,6,6,0
1875,5,6,-1
1876,7,6,1
1877,6,6,0
1878,6,6,0
1879,5,6,-1
1880,6,6,0
1881,6,6,0
1882,5,5,0
1883,6,6,0
1884,7,6,1
1885,7,6,1
1886,6,6,0
1887,5,5,0
1888,6,6,0
1889,8,7,1
1890,5,5,0
1891,6,5,1
1892,6,5,1
1893,6,6,0
1894,6,6,0
1895,6,6,0
1896,7,6,1
1897,6,6,0
1898,6,6,0
1899,5,6,-1
1900,5,6,-1
1901,5,5,0
1902,5,5,0
1903,6,6,0
1904,6,5,1
1905,6,6,0
1906,6,6,0
1907,5,5,0
1908,5,6,-1
1909,5,5,0
1910,7,6,1
1911,6,5,1
1912,5,6,-1
1913,6,6,0
1914,7,6,1
1915,7,7,0
1916,7,6,1
1917,6,6,0
1918,5,5,0
1919,5,6,-1
1920,6,6,0
1921,5,5,0
1922,6,6,0
1923,6,6,0
1924,6,6,0
1925,6,6,0
1926,5,5,0
1927,5,6,-1
1928,5,5,0
1929,6,6,0
1930,6,6,0
1931,5,6,-1
1932,6,6,0
1933,7,6,1
1934,7,6,1
1935,6,6,0
1936,6,6,0
1937,8,6,2
1938,7,5,2
1939,5,5,0
1940,6,6,0
1941,6,6,0
1942,5,6,-1
1943,6,6,0
1944,7,6,1
1945,4,5,-1
1946,5,6,-1
1947,5,5,0
1948,5,5,0
1949,6,6,0
1950,5,5,0
1951,6,6,0
1952,6,6,0
1953,4,5,-1
1954,5,5,0
1955,6,6,0
1956,6,6,0
1957,5,5,0
1958,6,6,0
1959,5,6,-1
